model,n,p,seed,nr_cliques,max_clique,time_cliques
superdense_gnp,25,0.96,4029,40,19,0.550419
superdense_gnp,25,0.96,482,384,16,0.676972
superdense_gnp,25,0.96,56,24,20,0.495874
superdense_gnp,25,0.96,7821,448,16,0.827479
superdense_gnp,25,0.96,917,128,17,0.637093
superdense_gnp,25,0.96,91928,48,19,0.182355
superdense_gnp,25,0.96,92839,80,18,0.220000
superdense_gnp,25,0.96,9291,48,19,0.570185
superdense_gnp,25,0.96,934,36,19,0.185428
superdense_gnp,25,0.96,93728,12,21,0.430083
superdense_gnp,25,0.96,94029,72,18,0.611530
superdense_gnp,25,0.96,9482,160,17,0.223981
superdense_gnp,25,0.96,956,216,16,0.562781
superdense_gnp,25,0.96,97821,96,18,0.208547
dense_gnp,25,0.9,17,396,13,0.930844
dense_gnp,25,0.9,1928,390,14,1.049715
dense_gnp,25,0.9,2839,174,15,0.751702
dense_gnp,25,0.9,291,96,16,0.631156
dense_gnp,25,0.9,34,144,16,0.647499
dense_gnp,25,0.9,3728,214,13,0.775517
dense_gnp,25,0.9,4029,160,15,0.662374
dense_gnp,25,0.9,482,209,14,0.763574
dense_gnp,25,0.9,56,175,14,0.754146
dense_gnp,25,0.9,7821,254,14,0.848921
dense_gnp,25,0.9,917,220,13,0.748209
dense_gnp,25,0.9,91928,340,14,0.299829
dense_gnp,25,0.9,92839,201,14,0.736826
dense_gnp,25,0.9,9291,112,16,0.274267
dense_gnp,25,0.9,934,79,16,0.507676
dense_gnp,25,0.9,93728,104,15,0.624801
dense_gnp,25,0.9,94029,222,16,0.276711
dense_gnp,25,0.9,9482,150,15,0.258133
dense_gnp,25,0.9,956,376,14,0.805131
dense_gnp,25,0.9,97821,272,15,0.676133
dense_gnp,30,0.6,17,195,8,0.595258
dense_gnp,30,0.6,1928,285,7,0.682629
dense_gnp,30,0.6,2839,291,9,0.739759
dense_gnp,30,0.6,291,326,9,0.825244
dense_gnp,30,0.6,34,294,7,0.740248
dense_gnp,30,0.6,3728,230,7,0.595048
dense_gnp,30,0.6,4029,371,7,0.823358
dense_gnp,30,0.6,482,239,7,0.649385
dense_gnp,30,0.6,56,369,8,0.965486
dense_gnp,30,0.6,7821,267,7,0.691638
dense_gnp,30,0.6,917,246,8,0.524438
dense_gnp,30,0.6,91928,272,7,0.237809
dense_gnp,30,0.6,92839,267,8,0.223702
dense_gnp,30,0.6,9291,319,8,0.285371
dense_gnp,30,0.6,934,303,8,0.285022
dense_gnp,30,0.6,93728,284,8,0.276362
dense_gnp,30,0.6,94029,287,7,0.722438
dense_gnp,30,0.6,9482,236,7,0.242280
dense_gnp,30,0.6,956,315,9,0.682490
dense_gnp,30,0.6,97821,261,8,0.542667
superdense_gnp,30,0.733333,17,311,11,0.985042
superdense_gnp,30,0.733333,1928,623,10,0.526883
superdense_gnp,30,0.733333,2839,506,11,0.453479
superdense_gnp,30,0.733333,291,549,10,1.440057
superdense_gnp,30,0.733333,34,701,10,0.565365
superdense_gnp,30,0.733333,3728,375,11,0.374489
superdense_gnp,30,0.733333,4029,914,11,1.769080
superdense_gnp,30,0.733333,482,584,10,1.120952
superdense_gnp,30,0.733333,56,644,11,1.492997
superdense_gnp,30,0.733333,7821,517,10,1.217334
superdense_gnp,30,0.733333,917,385,11,1.015353
superdense_gnp,30,0.733333,91928,569,9,0.560057
superdense_gnp,30,0.733333,92839,492,10,0.439721
superdense_gnp,30,0.733333,9291,695,9,1.360160
superdense_gnp,30,0.733333,934,703,11,0.731448
superdense_gnp,30,0.733333,93728,668,10,1.429790
superdense_gnp,30,0.733333,94029,437,11,1.137644
superdense_gnp,30,0.733333,9482,510,9,1.162508
superdense_gnp,30,0.733333,956,486,11,1.154057
superdense_gnp,30,0.733333,97821,561,11,1.352058
dense_gnp,30,0.7,17,256,10,0.809321
